SOURCE	LISTING_NUM	ADDRESS_ID	ADDRESS	CITY	STATE	ZIP	LATITUDE	LONGITUDE	PROPERTY_TYPE	LISTING_PRICE	INACT_SELLING_PRICE	BEDROOMS	BATHROOMS	HOME_SQ_FEET	ROOF_TYPE	LOT_SQ_FEET	POOL_TYPE	PARKING	VIEWS	LAUNDRY_ROOM	YEAR_BUILT	STORIES	FIREPLACE	LOT_DESC	STYLE	HEATING_DESCRIPTION	COOLING_DESCRIPTION	EXTERIOR	FLOORS	HOA	AMENITIES	HAS_PRIVATE_POOL	HAS_COMMUNITY_POOL	HAS_GARAGE	HAS_CARPORT	DOM	CLIENT_COMMENT1
d	40664040	4121001	850 Malibu Dr	Concord	CA	94518	37.942646	-122.028282	SFR	405000	405000	3	2.5	1246	Tile	3500	(null)	"2 Garage Spaces, Detached Garage"	(null)	In Garage	1984	2	Y	Regular	(null)	Forced Air 1 Zone	Central 1 Zone A/C	Stucco	"Tile, Wall to Wall Carpet"	(null)	(null)	0	0	0	0	57	"First Time Home Buyer or Investor special! Walking distance to schools, private and public, close to shopping center, restaurants, transportation, Ygnacio Valley park, trail. Location, location, location! Priced to sell!!Seller very motivated!! Will move quickly!"
c	21417096	7064050	8 Terrace Ave	Kentfield	CA	94904	37.95512	-122.545868	SFR	899000	900000	3	2	1369	(null)	5301	(null)	"4 Car, Garage, 4 Parking Spaces/Units, Off Street Parking"	"Canyon, Ridge, Valley"	In Garage	1957	1	Y	Level	Ranch	Central Heat	(null)	(null)	"Part Carpet, Wood"	(null)	"Cable TV available, City Utilities, PG&E, Cable TV"	0	0	0	0	20	"This beautiful Three Bedroom two Bath home sit in the heart of downtown Kentfield California. Zen like gardens and redwood grove accent the property from the front, with an interior which boast an expansive open floor plan opening to the rear deck and yard offing views of Mt. Tam. The property is ideally located close to town, shops, public transportation all in Kentfield's award winning Bacich school district. This is a great opportunity."
c	21409974	11925486	2454 Bramble Way	Santa Rosa	CA	95403	38.47851563	-122.7600098	SFR	357400	355000	3	2.5	1197	Composition	2727	(null)	"1 Car, Garage, Attached, Tandem"	(null)	In Garage	1995	2	Y	Level	Spanish/Mediterranean	"Central Heat, Gas"	(null)	Stucco	"Part Carpet, Tile, Vinyl/Linoleum"	(null)	"Smoke Alarm(s), Internet Available, PG&E"	0	0	0	0	65	"Bargain Price! Priced at $7600 under appraisal. 3 bedroom, 2 1/2 bath home with a great floor plan. High ceilings, fireplace in living room, workshop in garage, low maintance yard. Perfect for 1st time buyer or investor."
b	420422	81019038	1273 Rhode Island St	SF - Potrero Hill	CA	94107	37.753619	-122.401516	CONDO	699000	850000	2	2	(null)	(null)	(null)	(null)	(null)	(null)	"Washer/Dryer, In Closet"	(null)	(null)	Y	(null)	Victorian	Gas	(null)	Wood Siding	Hardwood	265	(null)	0	0	0	0	36	"Quintessential San Francisco Style Authentic San Francisco turn of the century condo! This recent condo conversion still retains it's original turn of the century Victorian charm. Features include: Period detailing, high ceilings, original pocket doors, large windows, ensuite Master BA, In unit laundry, claw foot bathtub, walk-in closet, hardwood flooring throughout. Flexible floor plan with 3rd bonus flex space off the front hallway - perfect for a small 3rd bedroom, sewing room, office or nursery. The kitchen also features a quaint Rare vintage 50s style gas stove and butcher block counter tops. Also enjoy the Sunny West facing red brick patio area at the front of the home."
a	81407014	11086625	446 8th Avenue	Menlo Park	CA	94025	37.472916	-122.200302	SFR	490475	682500	2	1	970	Composition	5350	(null)	Off Street Parking	Neighborhood	(null)	1924	(null)	(null)	(null)	Contemporary	Central Forced Air	(null)	(null)	"Wall to Wall Carpet, Linoleum or Vinyl"	(null)	(null)	0	0	0	0	134	"Carefree living! This cute home is ready for you today! Updated kitchen and bath, hardwood flooring, a studio in the rear waiting for your touch! A wonderful opportunity, certain to be treasured by the next fortunate owner!"
c	21415690	11947463	5145 Gates Rd	Santa Rosa	CA	95404	38.53964233	-122.6452255	SFR	539500	539500	2	2.5	1586	Composition	47480	(null)	"1 Car, 3 Car, Garage, Detached, Side By Side, Carport(s), 2 Parking Spaces/Unit, Covered Parking"	Forest/Woods	"220 Volt Wiring, Dryer Included, In Closet, Washer Included"	1973	2	Y	"Upslope, County"	Ranch	"Baseboard Heaters, Central Heat, Fireplace, Propane, Wood Burning"	(null)	Wood Siding	"Vinyl/Linoleum, Wall-to-Wall Carpet"	(null)	"Smoke Alarm(s), Electric Water Heater, PG&E, Propane, Satellite Dish"	0	0	0	0	50	"Updated home on 1.09 acre lot. Redwood trees and creek make this home feel like a retreat in premium wine country. Short drive to Calistoga and Napa Valley. Backyard with deck for entertaining and play area for the kids. Large art studio over the carport could be used as a workshop. The master bedroom and bathroom are upstairs and the second bedroom and bath are on the main level. Chicken coop, storage shed and room to garden."
d	40661475	3875496	48882 Sauvignon Ct	Fremont	CA	94539	37.46580124	-121.9115448	SFR	1199888	1350000	4	3	2322	Tile	6023	(null)	"2 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	"Hookups Only, In Laundry Room"	1998	1	Y	Level	Contemporary	"Forced Air 1 Zone, Gas"	"Ceiling Fan(s), Central 1 Zone A/C"	Stucco	"Hardwood Floors, Tile, Wall to Wall Carpet"	(null)	(null)	0	0	0	0	43	"Beautiful newer single level home in desirable Warm Springs area. Great schools. Vaulted ceilings.Spacious, bright & open floor plan.Formal dining & family rm. Great open kitchen with island, nook & granite counter. Hardwood floor&new carpet.Tiled floor in baths.New paint."
d	40657498	3880366	40374 Condon	Fremont	CA	94538	37.54077148	-121.9654312	SFR	510000	520000	3	1	(null)	Composition Shingles	5500	(null)	"1 Garage Space, Attached Garage, Garage Door Opener"	(null)	In Garage	1955	1	Y	Level	(null)	Wall Furnace	Ceiling Fan(s)	"Stucco, Wood Siding"	"Wall to Wall Carpet, Wood"	(null)	(null)	0	0	0	0	36	Beautiful single family home with a LARGE 200+ sq. ft living area that makes this home standout in the neighborhood!! (Room addition not included in total sq. ft.) Upgraded kitchen & bath. Fresh paint. Open floor plan. Large backyard-patio & spacious lawn area. Walking distance to Elementary School.
a	81429013	11045416	3671 San Benito Street	San Mateo	CA	94403	37.535252	-122.292664	SFR	810000	810000	2	1	900	Composition	5000	(null)	1 Car Carport	Neighborhood	Hookup - Gas Dryer	1951	(null)	Y	Level	(null)	Floor Furnace	(null)	Stucco	"Tile, Laminate, Hardwood"	(null)	(null)	0	0	0	0	0	"Refinished hardwood floors, new interior paint, granite kitchen, tile flooring, front and rear yards landscaped."
d	40650638	4213930	324 Sycamore Hill Ct	Danville	CA	94526	37.81886292	-121.9780884	TOWNHOUSE	658000	665000	3	2.5	1673	Composition Shingles	2340	"Community Facility, Pool"	"2 Garage Spaces, Attached Garage"	(null)	In Garage	1974	2	Y	Court	Traditional	Forced Air 1 Zone	Central 1 Zone A/C	Wood Siding	"Hardwood Floors, Tile"	300	(null)	1	0	0	0	57	"Sought after ""Sycamore Hill!"" Sunny & bright floorplan. Tasteful remodeling throughout. Hickory floors, dual windows, fenced patio-yard. Mt Diablo views. Custom closets. It's a 10!!!"
a	81411473	11546365	3223 Kenhill Drive	San Jose - South	CA	95111	37.28776169	-121.8421173	TOWNHOUSE	365000	367500	3	1.5	1164	Tile	575	(null)	"Attached, Guest Parking, 2 Car Garage"	Green Belt	"220 Volts In Kitchen, 220 Volts In Laundry Area, Dryer Included, Washer Included"	1987	(null)	(null)	(null)	Traditional	Central Forced Air	No Cooling	(null)	"Tile, Wall to Wall Carpet, Wood"	290	Ceiling Fan(s)	0	0	0	0	36	"Beautifully remodeled this charming 2 story end unit overlooks the greenbelt in clean quiet complex. Light, bright lots of color and cheer! Gorgeous laminate wood floors, granite kitchen counters,tile backsplash, pantry, customized vanities in both baths, full bath features a tub & shower, decorator mirrors plus Full size laundry area in garage. Minutes to The Plant, 87 & Downtown SJ."
c	21402101	12011049	8201 Camino Colegio #197	Rohnert Park	CA	94928	38.32790756	-122.6853943	CONDO	154950	151500	1	1	606	(null)	627	"Community Facility, Community Pool"	"1 Car, Carport(s)"	(null)	In Closet	1989	1	(null)	Level	Contemporary	Gas	(null)	Wood Siding	Simulated Wood	286	PG&E	0	0	0	0	124	"Resort-like setting with pool, tennis, park-like grounds, exercise facility. Ground floor unit with easy access. Newer appliances, laminate wood floor. Clothes washer and dryer in unit. Car port."
d	40664947	3839384	4275 Cambridge Way	Union City	CA	94587	37.59688215	-122.0834296	SFR	760000	740000	4	2.5	2095	Tile	4523	(null)	"2 Garage Spaces, Attached Garage, 2 Parking Spaces/Unit, Garage Door Opener"	(null)	"220 Volt Outlet, In Laundry Room"	1998	2	Y	Level	Contemporary	Forced Air 1 Zone	(null)	Wood Siding	"Concrete Slab, Laminate, Wall to Wall Carpet"	(null)	Fire Sprinklers	0	0	0	0	36	"Beautiful home w/ open floor plan, clean &bright. Laminated flr on 1st level, Updated kitchen w/ granite countertop, Bosch dish washer, gas cooktop, bay window. Updated baths with granite countertop and tile floors. Gas fireplace, all fire sprinklers were repalced."
d	40666702	85740221	262 Sullivan Way	Hayward	CA	94541	37.66426094	-122.0957885	TOWNHOUSE	439999	460000	3	3	1651	Tile	(null)	(null)	"2 Garage Spaces, Attached Garage, Guest Parking"	(null)	"Hookups Only, In Unit"	2011	3	(null)	Regular	Contemporary	Forced Air 1 Zone	(null)	Stucco	Wall to Wall Carpet	190	(null)	0	0	0	0	40	"Tri-level townhome with 3 bdrms & 3 baths in a newer community.Large home 1,651 sf of living space built in 2011.Upgraded kitchen.Granite counters w/ stainless steel appliances & 2 car garage! Laundry in unit. Convenient location!"
d	40659848	79328828	4025 La Cresta Ave	Oakland	CA	94602	37.80449	-122.219129	SFR	985000	985000	3	2.5	2656	Composition Shingles	4000	(null)	"2 Garage Spaces, Attached Garage, Garage Door Opener"	(null)	"Dryer, Washer"	2008	2	Y	Upslope	Custom	"Forced Air 2 Zones, Gas"	(null)	Stucco	"Hardwood Floors, Wall to Wall Carpet"	(null)	Security Alarm System - Owned	0	0	0	0	75	"Price reduced! Custom 2008 glenview home! Upscale main house (approx 1750 sq ft) has gourmet kitchen, elegant lr & sumptuous master suite + nook. Separate but linked structure with lr, full bath, & two bedrooms great for home offices/guests. Enormous over-size garage. Spa. Lush landscaping."
d	40648773	3738505	1371 Esser Ave	San Leandro	CA	94579	37.69611359	-122.1547699	SFR	554900	542000	3	2	1843	Composition Shingles	5700	(null)	"2 Garage Spaces, Attached Garage, Detached Garage, RV / Boat Parking, Side Yard Access, Garage Door Opener"	(null)	In Garage	1951	1	Y	"Level, Regular"	Traditional	"Gas, Wall Furnace"	Ceiling Fan(s)	Stucco	"Laminate, Tile"	(null)	Window Coverings	0	0	0	0	86	"This fabulous remodeled home is an Entertainer's Delight! Huge open floor plan flows from one room to the next and connects to the outdoor space. There is an extra building for a workshop, studio or extra storage. Minutes from 880 and the Bay Fair BART Station, this home is ideal for any buyer!"
a	81416779	11318850	630 University Avenue	Los Altos	CA	94022	37.37157059	-122.1180191	SFR	8880000	8880000	6	6	6453	"Slate, Composition"	41673	"In Ground Concrete, Sweep, Gas Heated, Cover, Pool"	"Attached, Gate/Door Opener, Guest Parking, Off Street Parking, 3 Car Garage"	(null)	"In Laundry Room, Dryer, Washer, Hookup - Gas Dryer, 220 Volt Outlet"	2007	(null)	Y	"Level, Sloped Down"	French	"Two or More Heating Zones, Radiant, Natural Gas, Central Forced Air, Gas"	Central Air	"Stone, Stucco"	"Tile, Wall to Wall Carpet, Hardwood, Marble"	(null)	"Security Alarm - Owned, Central Fire Alarm, Fire Sprinkler System, Security Fence, Window Covering(s), Double Pane Window(s), High Ceiling, Vaulted Ceiling, Wet Bar, Bay Window(s), Intercom, Cable TV Available, Skylight(s), Ceiling Fan(s)"	1	0	0	0	27	"Country French-inspired estate, nearly 1 acre just a short stroll to Downtown Los Altos; ~6453SF incl ~800SF guest house, plus add'l ~816SF 3C attached garage, 6BR, 2 offices, 5 full+2 half BA, epicurean kitchen, family great room, plus separate living and dining rooms; stunning conservatory; amazing grounds w pool, entertainment pavilion, full ext kit, batting cage, sport court; timeless quality!"
a	81413401	11628386	621 Blom Drive	San Jose - South	CA	95111	37.27329511	-121.8064245	SFR	555000	570000	3	2	1400	Shingle	6200	Pool	2 Car Garage	(null)	(null)	1979	(null)	Y	(null)	(null)	Gas	(null)	(null)	"Area Carpeting, Tile"	(null)	High Ceiling	1	0	0	0	56	Great 3 bedroom home with high ceiling * newly paint in/out * tile floor & carpet * open kitchen * sliding glass door leads to backyard w/ a stunning pool and jacuzzi * great location to parks * schools * easy access to fwy * ... Ready to move in.
a	81416439	11750852	1070 Wilderfield Road	Los Gatos Mountains	CA	95033	37.148974	-122.024671	SFR	925000	925000	3	3	2600	Composition	204166	(null)	"Attached, Gate/Door Opener, Guest Parking, Off Street Parking, RV or Boat Parking, 2 Car Garage"	"Bay, Green Belt, Mountains, Canyon, Ocean, Valley, City Lights"	"In Laundry Room, Dryer, Washer, 220 Volt Outlet"	1981	(null)	Y	Sloped Up	Contemporary	"Propane, Central Forced Air"	Central Air	Wood	"Tile, Wall to Wall Carpet, Hardwood"	(null)	"Window Covering(s), Double Pane Window(s), Satellite Dish"	0	0	0	0	38	"An eagles aerie for the brave heart willing to drive up Machu Piccu! Sights only seen by soaring eagles from Mt. Charley to Lovers point in Monterey. Live in natures overlook with all the amenities of civilization. Watch sunrise from your bed, see weather roll in across the bay. Enjoy the sunsets from your hot tub! Guest quarters downstairs for visiting friends! Master gardeners dream setting!"
d	40656647	3697064	1701 Central Ave #e	Alameda	CA	94501	37.77046204	-122.2564316	CONDO	379000	420000	2	1	968	(null)	21400	(null)	"1 Garage Space, 1 Carport, Assigned Spaces, 1 Parking Space/Unit"	(null)	"Coin Operated Laundry, Community Facility"	1970	3	Y	Regular	Contemporary	Forced Air 1 Zone	(null)	Stucco	"Marble/Stone, Slate, Tile, Wood"	295	Window Coverings	0	0	0	0	50	"This 2br 1ba condo is located on a beautiful tree lined street. Many updates! Private electric vehicle charging station! Remodeled kitchen w/granite counters, stainless appliances and modern cabinetry. Updated bathroom w/double sinks. Gorgeous travertine and engineered wood floors. Lush courtyard."
d	40665028	4224058	458 Watsonia Court	San Ramon	CA	94582	37.77251053	-121.9126282	SFR	1150000	1162000	4	3	3164	Tile	8360	(null)	"3 Garage Spaces, Attached Garage, Garage Door Opener"	Hills	"220 Volt Outlet, Hookups Only, In Laundry Room"	2007	2	Y	"Cul-de-sac, Premium Lot"	Tudor	Forced Air 2 Zones	Central 2 or more Zones A/C	Stucco	"Hardwood Floors, Tile, Wall to Wall Carpet"	20	"Security Alarm System - Owned, Window Coverings"	0	0	0	0	30	"Model-perfect Terravista at Gale Ranch! Large loft/bonus room. 1 bed/1bath down. Prof landscaped Extended driveway.Slab granite counters/backsplash, Bosch stainless steel appliances, large island.Wide plank wood floors, Custom blinds.Home sec camera system, 3-car garage."
d	40657790	4148293	400 Suntree Ln #408	Pleasant Hill	CA	94523	37.97844315	-122.0698471	CONDO	310000	335000	2	2	1190	Composition Shingles	(null)	"Community Facility, Pool"	"1 Garage Space, Detached Garage, Guest Parking, Garage Door Opener"	(null)	"Dryer, In Closet, In Unit, Washer"	1985	2	(null)	(null)	Contemporary	Individual Room Controls	"Ceiling Fan(s), Window / Wall Unit(s)"	Wood Siding	"Linoleum, Wall to Wall Carpet"	387	Window Coverings	0	0	0	0	45	"Valuted ceilings & upper end unit create a light & spacious feel to this chic style condo. Loft bedroom & large second bedroom or office w/built-ins. Central location to freeway, shopping, DVC makes it a commuter dream. Beautiful grounds for a stroll w/pet. Broker Tour 5/20 10:30-1"
d	40659673	85507975	440 Canyon Oaks Dr #440a	Oakland	CA	94605	37.77109909	-122.1494064	CONDO	285000	285000	1	1	815	Composition Shingles	(null)	"Cabana, Community Facility, Pool"	"1 Garage Space, 1 Carport, Covered Parking, 1 Parking Space/Unit"	Greenbelt	"220 Volt Outlet, Dryer, In Closet, In Unit"	1986	1	Y	"Premium Lot, Secluded"	Cape Cod	Forced Air 1 Zone	(null)	Wood Siding	"Hardwood Floors, Marble/Stone, Slate, Wall to Wall Carpet"	299	(null)	0	0	0	0	90	"Beautifully renovated w new custom kit. cabs, granite cntrs, recessed lighting, stainless steel appl., hrwd in living, marble flrs in bath, designer carpet in bdrm. Washer/dryer in unit, Fire place, 2 decks, new custom bathroom. Gated comm. with tennis cts, pool and clubhouse. True luxury living!!!"
a	81423878	3853758	39756 Costa Way	Fremont	CA	94538	37.539658	-121.97934	SFR	575000	600000	3	2	1269	Composition	6350	(null)	"Attached, Gate/Door Opener, 2 Car Garage"	(null)	"In Garage, Hookup - Gas Dryer"	1963	(null)	Y	(null)	Ranch	Central Forced Air	(null)	Stucco	"Wall to Wall Carpet, Linoleum or Vinyl"	(null)	"Window Covering(s), Cable TV Available"	0	0	0	0	32	"Perfect place to call home!Immaculate single story lovingly maintained by original owner*new custom paint,new carpet/pad,newer cooktop in kit*upgrd baths,newer fixtures,new linoleum flooring*formal liv rm,lrg picture window,sep fam rm,fireplace*freshly painted exterior trim and doors,2car garage,addtl storage*mature landscape,patio,fruit trees,close to schools/shoppping/bart*large lot,must see!"
d	40666936	3749214	18579 Carlwyn Dr	Castro Valley	CA	94546	37.711224	-122.090897	SFR	599950	599950	2	2	1585	Composition Shingles	7425	(null)	"2 Or More Carports, Off Street Parking"	City Lights	"220 Volt Outlet, Hookups Only, In Laundry Room"	1954	1	Y	"Level, Upslope"	Ranch	"Forced Air 1 Zone, Gas"	(null)	"Brick, Concrete Block, Stucco"	"Hardwood Floors, Tile"	(null)	Window Coverings	0	0	0	0	38	"Gorgeous,Totally Remodeled! Mint condition! Move right in and enjoy this single level home with new oak floors, new windows, remodeled kitchen & baths, huge rumpus room with skylights & inside laundry room. Brick fireplace, formal dining, tile patio, and landscaped yards, 2 car carport."
d	40659901	4106307	1640 Claycord Ave	Concord	CA	94521	37.96273041	-121.9709396	SFR	484000	538000	4	2	1857	Metal	12825	Possible Pool Site	"2 Garage Spaces, Attached Garage, Interior Access From Garage, Security, Garage Door Opener"	Greenbelt	In Basement	1971	1	Y	Premium Lot	Ranch	Forced Air 1 Zone	"Ceiling Fan(s), Central 1 Zone A/C, Window / Wall Unit(s)"	"Stucco, Wood Siding"	"Linoleum, Vinyl, Wall to Wall Carpet"	(null)	Window Coverings	1	0	0	0	19	"Beautifully maintained one owner home. This 4 bedroom 2 bath home with 1857 square feet sits on a premium 12,825 square foot premium lot with no rear neighbors. A 40 year metal roof, dual pane windows and new sewer lateral are just a couple of upgrades. Located in Concords top school district.."
a	81412702	11729458	240 Rio Del Mar Boulevard #e	Rio Del Mar/Seascape	CA	95003	36.968329	-121.902119	CONDO	729900	708800	2	2	972	(null)	915	Community Pool	2 Car Garage	"Bay, Mountains, Ocean"	Laundry Facility - Coin-Op	1970	(null)	Y	(null)	(null)	Baseboard	(null)	(null)	"Wall to Wall Carpet, Hardwood, Linoleum or Vinyl"	465	"Window Covering(s), Skylight(s), Ceiling Fan(s)"	0	0	0	0	64	"Ocean Views Galore! Wall to wall, ceiling to floor views of the Bay, white water & sand. Enjoy beach life with this 2 bedroom, 2 bath condo at Rio Beach. You have your own private garage with overhead storage & a convenient elevator to take you to your top floor condo. Whale watch from your sunny deck, or the complex swimming pool. Rio Beach, the Cement Ship, caf?, restaurant, are steps away."
d	40655040	4178430	2109 Skycrest Drive #7	Rossmoor	CA	94595	37.875401	-122.08722	CONDO	450000	500000	2	2	1420	(null)	(null)	Community Facility	"1 Garage Space, 1 Carport, Guest Parking"	"City Lights, Downtown, Greenbelt, Hills, Mountains, Mt Diablo, Panoramic"	"Dryer, In Closet, Washer"	1970	1	(null)	Regular	(null)	"Electric, Radiant"	Window / Wall Unit(s)	(null)	"Vinyl, Wall to Wall Carpet"	560	"Mirrored Closet Door(s), Window Coverings"	0	0	0	0	20	"Views, views, views!! Sweeping views of Rossmoor and Mt. Diablo from this lovely Expanded Kentfield at the top of Skycrest! This beautiful view has some of the best views in Rossmoor. Great floor plan with 2 bedrooms, 2 bathrooms and den. Remodeled kitchen, bathroom with Jacuzzi tub and more."
a	81415592	11265626	839 Harmony Place	Milpitas	CA	95035	37.41967773	-121.8999405	TOWNHOUSE	689950	700000	4	3.5	1764	Tile	1655	Community Pool	"Attached, Gate/Door Opener, 2 Car Garage"	(null)	In Laundry Room	2000	(null)	Y	(null)	Mediterranean	Central Forced Air	Central Air	(null)	"Laminate, Wall to Wall Carpet, Hardwood, Linoleum or Vinyl"	230	"Fire Sprinkler System, Window Covering(s), Double Pane Window(s), High Ceiling, Cable TV Available, Ceiling Fan(s)"	1	0	0	0	41	"End unit town home, spacious with hardwood flooring & high ceilings, lots of natural light. Wonderful kitchen w/granite counters, gas range, island w/dual sinks & Dishwasher. 2 Master Bedrooms, interior laundry. Private yard w/paver patio, sharp! Convenient location, walk to Great Mall, Easy commute north or south. Full size 2 car garage, Low HOA fees. Recent sale, same unit over $700K."
a	81417959	11398586	3361 Pruneridge Avenue	Santa Clara	CA	95051	37.3315773	-121.9887238	SFR	895000	1000000	3	2	1442	Composition	6954	Community Pool(s)	2 Car Garage	Neighborhood	"In Garage, Dryer, Washer, 220 Volt Outlet"	1962	(null)	Y	Level	Ranch	Central Forced Air	Central Air	"Wood, Stucco"	"Area Carpeting, Linoleum or Vinyl"	(null)	Double Pane Window(s)	1	0	0	0	40	"Newly updated property - new to the market! Approx. 1 mile to the new Apple Campus! New int/ext paint, new flooring and baseboards, dual pane windows - all with custom plantation shutters. A/C, copper piping, comp roof, updated bathrooms, storage shed in rear yard, across from Maywood Park. Close to Hwy 280, shopping, Santa Clara school district! Optional access to Killarney Farms Swim Center."
a	81404766	11506838	441 Casselino Drive	San Jose - South	CA	95136	37.28387833	-121.8578796	CONDO	499000	523000	2	2	1104	Tile	1742	(null)	"Tandem, 2 Car Garage"	"Mountains, Valley, City Lights"	"In Laundry Room, Hookup - Gas Dryer"	2004	(null)	(null)	(null)	Mediterranean	Central Forced Air	Central Air	(null)	"Wall to Wall Carpet, Linoleum or Vinyl"	159	"Fire Sprinkler System, Window Covering(s), Double Pane Window(s), High Ceiling, Balcony or Patio, Cable TV Available"	0	0	0	0	176	"Beautiful 2 bed / 2 bath condo on Prestigious Communication Hill! Move-in Condition. Spectacular views. Scenic walking paths inspired by Tuscan Hills. Centrally located for all your lifestyle needs, close proximity to light rail hwy 87 to downtown SJ, hwy 85 to Mtn View. Features include: open kitchen, 2 car garage, walk in closet, central A/C, patio and valley views from Master Bedroom."
b	423355	10617632	992 Portola Dr	SF - Forest Hill Extension	CA	94127	37.74191284	-122.4563751	SFR	888000	1115000	3	2.5	1818	"Composition, Shingle, Tar & Gravel"	1785	(null)	"1 Garage Space, Attached, Garage, Automatic Door, Interior Access, Paved Driveway"	Hills	In Garage	1948	(null)	Y	Corner	Traditional	Gas	(null)	"Stucco, Wood Siding"	"Hardwood, Linoleum"	(null)	(null)	0	0	0	0	23	"This fully detached, light-filled home is situated on a charming landscaped corner lot in Forest Hill Ext. This home has a tri-level layout providing privacy for family, guests or an office. 1st level opens to foyer w/ powder room separating the formal living & dining. The living room features a wood-burning fireplace & formal dining has picture windows flooding in natural light. Kitchen is adjacent to dining w/ modern open cabinetry, s.s. refrigerator and gas range w/ grilling station, breakfast bar/pass through. 2nd level opens to a gracious bedroom & full ba. 3rd level offers a guest room & master w/ en suite bath. Ample closet space w/ organizers. Front & rear landscaped yards w/ rock terrace. 1 car garage parking, laundry & storage."
d	40666288	3919185	10776 Ruthven Lane	Dublin	CA	94568	37.70134	-121.958761	TOWNHOUSE	595000	605000	3	2.5	1387	Composition Shingles	(null)	"Community Facility, Pool"	"2 Garage Spaces, Attached Garage, Guest Parking, Garage Door Opener"	(null)	In Garage	1997	2	Y	Level	Traditional	Forced Air 1 Zone	"Ceiling Fan(s), Central 1 Zone A/C"	Stucco	"Concrete Slab, Laminate, Tile, Wall to Wall Carpet"	305	"Fire Sprinklers, Window Coverings"	1	0	0	0	29	"Remodeled throughout including gourmet kitchen, granite counters s/s appliances, beautiful flooring, ceiling fans, and designer d?cor. Community pool, spa & club house. Tranquil setting, yet close to excellent schools, shops, BART & commute access."
a	81416514	11514671	452 Don Marco Court	San Jose - Blossom Valley	CA	95123	37.25386429	-121.8404999	TOWNHOUSE	450000	445000	4	2.5	1439	Composition	1012	(null)	2 Car Carport	Neighborhood	"In Laundry Room, Dryer, Washer, 220 Volt Outlet"	1970	(null)	(null)	(null)	Contemporary	Central Forced Air	Central Air	(null)	"Tile, Wall to Wall Carpet, Wood, Linoleum or Vinyl"	284	"Window Covering(s), Double Pane Window(s)"	0	0	0	0	51	"Beautifully updated - move right in - stainless steel appliances - large master suite - green space and sports' court nearby - central A/C and heat - inside laundry - covered parking through private patio - convenient to 87, 85, and light rail."
d	40656258	3578837	77 Fairmount Avenue #307	Oakland	CA	94611	37.81588745	-122.2603836	CONDO	299950	299950	1	1	653	Rolled Composition	(null)	"Community Facility, Pool"	"1 Garage Space, Below Building Parking, 1 Parking Space/Unit, Garage Door Opener"	"City Lights, Partial"	Community Facility	1970	1	(null)	(null)	Contemporary	Electric	Ceiling Fan(s)	Stucco	"Tile, Wall to Wall Carpet"	281	(null)	0	0	0	0	50	"Location, Location, Location!! This spacious top floor condo features an updated kitchen and bathroom, granite counter tops, tile flooring, wall-to-wall closet in bedroom and much more! Enjoy the close proximity to Lake Merritt, BART and convenience of major Freeways. Open House Sat 5/10 2-5pm."
a	81414180	11392475	866 La Barbera Drive	San Jose - Central	CA	95126	37.30816269	-121.9192581	CONDO	335000	335000	1	1	808	Composition	840	Community Pool	"Attached, Gate/Door Opener, Guest Parking, Off Street Parking, 1 Car Garage"	Neighborhood	"In Laundry Room, Dryer, Washer, 220 Volt Outlet"	1985	(null)	Y	(null)	Contemporary	"Baseboard, Electric"	Window/Wall Unit	(null)	"Tile, Wall to Wall Carpet, Linoleum or Vinyl"	280	"Window Covering(s), Double Pane Window(s), Balcony or Patio, Cable TV Available, Ceiling Fan(s)"	0	0	0	0	123	"Desirable Complex. Upstairs Bi-Level unit, off Southwest Expressway on side street & away from noise. Close to light rail, Los Gatos Creek Trail, Santana Row, Westfield Shopping, Valley Medical Center, Highways 880 and 280. Unit includes all appliances, wood burning fireplace, indoor laundry, large master bedroom, enclosed single car garage w/opener and beautiful gated pool and spa."
c	21409872	(null)	Address Withheld By Seller	Rohnert Park	CA	94928	0	0	CONDO	295000	282500	2	1.5	1220	(null)	1324	(null)	"2 Car, Attached"	(null)	In Laundry Room	1979	2	Y	Level	Traditional	Central Heat	(null)	Wood Siding	"Tile, Vinyl/Linoleum, Wall-to-Wall Carpet"	295	PG&E	0	0	0	0	75	"Wonderful end unit next to Redwoods. Vaulted ceilings, great light, remodeled bathroom, wood burning stove, side yard patio, and attached two car garage. A must see! Back on the market - we have all reports that are good! Don't miss this opportunity!"
c	21413380	(null)	1605 1605 Northstar Dr	Petaluma	CA	94954	38.2473117	-122.5712101	SFR	425000	431000	2	2	920	(null)	3920	Membership Fee	"2 Car, Decks"	(null)	Hookups Only	1983	1	Y	Level	Ranch	"Fireplace, Gas"	Central Air	Wood Siding	"Hardwood, Part Carpet, Tile"	60	"Smoke Alarm(s), Cable TV available, Internet Available, Natural Gas, PG&E, Cable TV"	1	0	0	0	59	"Home has been totally remolded by current owner. Seller added skylights, tile, custom kitchen cabinets, new floors, brand new composition roof. Back yard beautifully landscaped with irrigation system in place."
